engine_id,d,n_points,adf_stat,adf_p,adf_stationary,kpss_stat,kpss_p,kpss_stationary
86,1,176,-6.042018449355314,1.338962971897419e-07,True,0.32709882215434005,0.1,True
87,1,211,-5.718227366044519,7.039438905969742e-07,True,0.24738852825973734,0.1,True
88,1,215,-7.629100620701323,2.0312167060175977e-11,True,0.0509496781450249,0.1,True
89,1,152,-7.650867274287285,1.790843689180302e-11,True,0.28204207556349276,0.1,True
91,1,339,-7.635907306448424,1.9527913411464626e-11,True,0.39684851335771365,0.0785135718285717,True
92,1,153,-7.9185593145434225,3.778006295221363e-12,True,0.11814984167597106,0.1,True
93,1,256,-10.814374532422681,1.8734311631794483e-19,True,0.37198536156383427,0.08923044760179558,True
94,1,281,-10.445422198519616,1.4844881700581457e-18,True,0.44323703375193113,0.05851851993451245,True
95,1,334,-8.82750358659845,1.8068308163206275e-14,True,0.3795665832366768,0.08596267963936345,True
96,1,200,-9.437140220614303,5.007127185130848e-16,True,0.2965367738972233,0.1,True
97,1,154,-8.034256760675204,1.921549426029139e-12,True,0.3907784967117668,0.08112995831389364,True
98,1,183,-5.542574238342058,1.6886484696559048e-06,True,0.2195545568785412,0.1,True
99,1,198,-10.058264231014677,1.3548176693235905e-17,True,0.3827294691487544,0.08459936674622656,True
0,2,189,-7.514251758701202,3.9414153389644315e-11,True,0.02403654924768782,0.1,True
1,2,284,-8.930805306314555,9.827236876066362e-15,True,0.35028771439313616,0.09858288172709648,True
2,2,176,-7.537780575977939,3.441697812474176e-11,True,0.05745872507069357,0.1,True
3,2,186,-8.929301910195338,9.914705046356047e-15,True,0.05942645843800307,0.1,True
4,2,266,-9.866595805302078,4.0984370901727553e-17,True,0.27488920923358046,0.1,True
5,2,185,-9.279892310430997,1.2594074865578931e-15,True,0.10379035181415473,0.1,True
7,2,147,-9.62887907268792,1.632423180920271e-16,True,0.20294827696788403,0.1,True
9,2,219,-8.845545800124826,1.624489825091656e-14,True,0.07254993310007983,0.1,True
10,2,237,-8.071487854710329,1.5452689364708525e-12,True,0.1307535387002658,0.1,True
15,2,206,-7.769120618605738,9.019802903366355e-12,True,0.041841700032487224,0.1,True
16,2,273,-9.788571791186204,6.444275806681918e-17,True,0.13095085299414738,0.1,True
17,2,192,-7.773932116955877,8.771098223349373e-12,True,0.05074205454954619,0.1,True
18,2,155,-6.807463280888659,2.1584224081451797e-09,True,0.05509307350605567,0.1,True
20,2,192,-9.486724391352418,3.7455688136434266e-16,True,0.10829923133959983,0.1,True
21,2,199,-7.798816029122517,7.589703765809585e-12,True,0.10365063975141064,0.1,True
23,2,144,-6.276354870792146,3.891978910294747e-08,True,0.03508965048709664,0.1,True
24,2,227,-8.066393073223345,1.5920629615937805e-12,True,0.26787153914858264,0.1,True
25,2,196,-8.728938434797447,3.2309656205777695e-14,True,0.46339061476860965,0.0499120237007636,False
26,2,153,-7.083065962701815,4.612701031339586e-10,True,0.024082105217876258,0.1,True
27,2,162,-7.508085823957091,4.083881827715389e-11,True,0.2316048435199341,0.1,True
28,2,160,-6.805370032820386,2.183649575033106e-09,True,0.09036192392374505,0.1,True
29,2,191,-7.297249777361041,1.3677003104015945e-10,True,0.12476253262773125,0.1,True
30,2,231,-8.285876233024334,4.3923770739053963e-13,True,0.3458008755627418,0.1,True
31,2,188,-7.30297255759966,1.3237547301960025e-10,True,0.05271163970840367,0.1,True
32,2,197,-8.52615236746315,1.0678468439179604e-13,True,0.16894077658552517,0.1,True
33,2,192,-8.775255450629446,2.4587663714653666e-14,True,0.01406520963609841,0.1,True
34,2,178,-6.901302103363952,1.2799880920494223e-09,True,0.17583441265597793,0.1,True
37,2,191,-8.147736776862882,9.884246481515304e-13,True,0.1418036420895381,0.1,True
38,2,125,-6.9450372001282705,1.002273033189042e-09,True,0.185195062891107,0.1,True
39,2,185,-6.951048087007483,9.690927311017994e-10,True,0.03209932446652026,0.1,True
40,2,213,-7.407650002000928,7.273133876865603e-11,True,0.09989254985306562,0.1,True
42,2,204,-8.04075789573774,1.8498225072221884e-12,True,0.01671497260532182,0.1,True
43,2,189,-7.302695222455677,1.32585174269738e-10,True,0.2135845099341546,0.1,True
44,2,155,-7.1764659029446225,2.719142168582004e-10,True,0.1642981751472309,0.1,True
45,2,253,-8.849699585032422,1.585187887399916e-14,True,0.018784728592434633,0.1,True
46,2,211,-8.25504955008894,5.264674494263897e-13,True,0.1072341660589792,0.1,True
48,2,212,-8.291502654143857,4.249490367232919e-13,True,0.20538933411340704,0.1,True
50,2,210,-7.743340689430506,1.047680486948801e-11,True,0.15409124300424776,0.1,True
51,2,210,-7.9070270693874445,4.040946181916635e-12,True,0.06552702414100814,0.1,True
52,2,192,-7.30671069427665,1.2958085124171855e-10,True,0.010795193818952822,0.1,True
54,2,190,-8.907238369175088,1.1291744274465876e-14,True,0.33299869912224817,0.1,True
55,2,272,-8.953925134711712,8.57538201281506e-15,True,0.09963392534297147,0.1,True
56,2,134,-6.510328341424699,1.1045240596376886e-08,True,0.5000000000000022,0.04166666666666617,False
57,2,144,-7.087825987012759,4.4904062619999725e-10,True,0.33174886417602156,0.1,True
